fecha,ubicacion,id_camera,ACCIDENTE,Gravedad_nombre,con_embriaguez,con_persona_mayor,con_embarazo,latitud,longitud,year
2019-09-21,AV AVENIDA DEL SUR-CL 53 02,DEI-007/CAM-02,A001054696,Con Heridos,NO,SI,,4.67099999999999,-74.107,2019
2019-10-14,AV AVENIDA DEL SUR-KR 72 2,DEI-002/CAM-01,A001054739,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-10-14,AV AVENIDA DEL SUR-KR 72 2,DEI-002/CAM-02,A001054739,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-09-22,AV AVENIDA BOYACA-CL 3 2,DEI-002/CAM-01,A001054742,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-22,AV AVENIDA BOYACA-CL 3 2,DEI-002/CAM-02,A001054742,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-21,KR 30-CL 73 2,DEI-019/CAM-01,A001054750,Con Muertos,NO,SI,,4.66800000000001,-74.073,2019
2019-09-21,KR 30-CL 73 2,DEI-019/CAM-02,A001054750,Con Muertos,NO,SI,,4.66800000000001,-74.073,2019
2019-10-08,KR 30-CL 73 02,DEI-019/CAM-01,A001054752,Solo Daños,NO,NO,,4.66800000000001,-74.073,2019
2019-10-08,KR 30-CL 73 02,DEI-019/CAM-02,A001054752,Solo Daños,NO,NO,,4.66800000000001,-74.073,2019
2019-09-21,KR 45-CL 127 02,DEI-036/CAM-03,A001054763,Solo Daños,NO,NO,,4.70699999999999,-74.054,2019
2019-09-21,KR 45-CL 127 02,DEI-036/CAM-04,A001054763,Solo Daños,NO,NO,,4.70699999999999,-74.054,2019
2019-09-21,KR 114-CL 80 2,DEI-033/CAM-01,A001054769,Solo Daños,NO,NO,,4.72199999999998,-74.121,2019
2019-09-21,KR 114-CL 80 2,DEI-033/CAM-02,A001054769,Solo Daños,NO,NO,,4.72199999999998,-74.121,2019
2019-09-21,KR 45-CL 97 2,DEI-010/CAM-01,A001054784,Solo Daños,NO,NO,,4.685,-74.057,2019
2019-09-21,KR 45-CL 97 2,DEI-010/CAM-02,A001054784,Solo Daños,NO,NO,,4.685,-74.057,2019
2019-09-21,KR 45-CL 97 2,DEI-010/CAM-03,A001054784,Solo Daños,NO,NO,,4.685,-74.057,2019
2019-09-21,KR 45-CL 97 2,DEI-010/CAM-04,A001054784,Solo Daños,NO,NO,,4.685,-74.057,2019
2019-09-24,CL 80-KR 104 2,DEI-013/CAM-01,A001054820,Con Heridos,NO,SI,,4.71300000000002,-74.115,2019
2019-09-24,CL 80-KR 104 2,DEI-013/CAM-02,A001054820,Con Heridos,NO,SI,,4.71300000000002,-74.115,2019
2019-09-22,AV AVENIDA BOYACA-CL 60 S 2,DEI-021/CAM-01,A001054823,Solo Daños,NO,NO,,4.64699999999999,-74.065,2019
2019-09-22,AV AVENIDA BOYACA-CL 60 S 2,DEI-021/CAM-02,A001054823,Solo Daños,NO,NO,,4.64699999999999,-74.065,2019
2019-09-28,DG 2-AK 79 2,DEI-024/CAM-02,A001054854,Solo Daños,NO,SI,,4.63109195749999,-74.1515,2019
2019-09-24,AV AVENIDA BOYACA-CL 5 2,DEI-002/CAM-01,A001054889,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-24,AV AVENIDA BOYACA-CL 5 2,DEI-002/CAM-02,A001054889,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-26,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-01,A001054894,Con Heridos,NO,SI,,4.63099999999997,-74.138,2019
2019-09-26,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-02,A001054894,Con Heridos,NO,SI,,4.63099999999997,-74.138,2019
2019-09-24,KR 45-CL 184 02,DEI-025/CAM-01,A001054954,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-24,KR 45-CL 184 02,DEI-025/CAM-02,A001054954,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-24,KR 45-CL 184 02,DEI-025/CAM-03,A001054954,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-24,KR 45-CL 184 02,DEI-025/CAM-04,A001054954,Solo Daños,NO,NO,,4.762,-74.044,2019
2019-09-29,KR 45-CL 172 2,DEI-022/CAM-01,A001054959,Con Heridos,NO,NO,,4.75299999999999,-74.046,2019
2019-09-29,KR 45-CL 172 2,DEI-022/CAM-02,A001054959,Con Heridos,NO,NO,,4.75299999999999,-74.046,2019
2019-09-29,KR 45-CL 172 2,DEI-022/CAM-03,A001054959,Con Heridos,NO,NO,,4.75299999999999,-74.046,2019
2019-09-29,KR 45-CL 172 2,DEI-022/CAM-04,A001054959,Con Heridos,NO,NO,,4.75299999999999,-74.046,2019
2019-09-30,KR 10-CL 16 2,DEI-018/CAM-01,A001054960,Con Heridos,NO,NO,,4.57864004800001,-74.092,2019
2019-09-30,KR 10-CL 16 2,DEI-018/CAM-02,A001054960,Con Heridos,NO,NO,,4.57864004800001,-74.092,2019
2019-10-25,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-01,A001054962,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-10-25,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-02,A001054962,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-10-09,KR 68-CL 80 2,DEI-035/CAM-01,A001055008,Con Heridos,NO,NO,,4.68400000000003,-74.079,2019
2019-10-09,KR 68-CL 80 2,DEI-035/CAM-02,A001055008,Con Heridos,NO,NO,,4.68400000000003,-74.079,2019
2019-10-08,CL 80-KR 86 2,DEI-020/CAM-01,A001055029,Solo Daños,NO,SI,,4.70299999999997,-74.101,2019
2019-09-29,KR 45-CL 127 02,DEI-036/CAM-03,A001055039,Solo Daños,NO,SI,,4.70699999999999,-74.054,2019
2019-09-29,KR 45-CL 127 02,DEI-036/CAM-04,A001055039,Solo Daños,NO,SI,,4.70699999999999,-74.054,2019
2019-09-28,AV AVENIDA BOYACA-CL 37 S 2,DEI-001/CAM-01,A001055040,Con Heridos,NO,SI,,4.61387980900003,-74.140223248,2019
2019-09-28,AV AVENIDA BOYACA-CL 37 S 2,DEI-001/CAM-02,A001055040,Con Heridos,NO,SI,,4.61387980900003,-74.140223248,2019
2019-10-31,CL 80-KR 102 02,DEI-013/CAM-01,A001055069,Solo Daños,NO,NO,,4.71170879599998,-74.114,2019
2019-10-31,CL 80-KR 102 02,DEI-013/CAM-02,A001055069,Solo Daños,NO,NO,,4.71170879599998,-74.114,2019
2019-10-11,CL 187-KR 45 2,DEI-025/CAM-01,A001055115,Con Heridos,NO,SI,,4.762,-74.044,2019
2019-10-11,CL 187-KR 45 2,DEI-025/CAM-02,A001055115,Con Heridos,NO,SI,,4.762,-74.044,2019
2019-10-11,CL 187-KR 45 2,DEI-025/CAM-03,A001055115,Con Heridos,NO,SI,,4.762,-74.044,2019
2019-10-11,CL 187-KR 45 2,DEI-025/CAM-04,A001055115,Con Heridos,NO,SI,,4.762,-74.044,2019
2019-09-25,AV AVENIDA CIUDAD DE CALI-CL 52 S 02,DEI-007/CAM-01,A001055133,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-09-25,AV AVENIDA CIUDAD DE CALI-CL 52 S 02,DEI-007/CAM-02,A001055133,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-09-27,AV AVENIDA DEL SUR-KR 67 02,DEI-003/CAM-01,A001055134,Con Heridos,NO,NO,,4.62934003100003,-74.121187717,2019
2019-09-27,AV AVENIDA DEL SUR-KR 67 02,DEI-003/CAM-02,A001055134,Con Heridos,NO,NO,,4.62934003100003,-74.121187717,2019
2019-09-30,AV AVENIDA BOYACA-CL 53 2,DEI-007/CAM-01,A001055159,Solo Daños,NO,NO,,4.67099999999999,-74.107,2019
2019-09-30,AV AVENIDA BOYACA-CL 53 2,DEI-007/CAM-02,A001055159,Solo Daños,NO,NO,,4.67099999999999,-74.107,2019
2019-10-01,AV AVENIDA DE LAS AMERICAS-KR 68 02,DEI-003/CAM-01,A001055163,Con Heridos,NO,SI,,4.62900000000002,-74.122,2019
2019-10-01,AV AVENIDA DE LAS AMERICAS-KR 68 02,DEI-003/CAM-02,A001055163,Con Heridos,NO,SI,,4.62900000000002,-74.122,2019
2019-09-25,CL 116-KR 9 2,DEI-034/CAM-01,A001055214,Solo Daños,NO,SI,,4.694026608000005,-74.0339103445,2019
2019-09-25,CL 116-KR 9 2,DEI-034/CAM-02,A001055214,Solo Daños,NO,SI,,4.694026608000005,-74.0339103445,2019
2019-10-09,CL 60-KR 14 02,DEI-021/CAM-01,A001055239,Con Heridos,NO,SI,,4.64705864199999,-74.06511329599999,2019
2019-10-09,CL 60-KR 14 02,DEI-021/CAM-02,A001055239,Con Heridos,NO,SI,,4.64705864199999,-74.06511329599999,2019
2019-09-28,AV AVENIDA BOYACA-CL 64C 02,DEI-007/CAM-03,A001055259,Con Heridos,NO,NO,,4.67723264799997,-74.101909459,2019
2019-09-28,KR 7-CL 94 2,DEI-028/CAM-01,A001055261,Solo Daños,NO,NO,,4.67399999999998,-74.042,2019
2019-09-28,KR 7-CL 94 2,DEI-028/CAM-02,A001055261,Solo Daños,NO,NO,,4.67399999999998,-74.042,2019
2019-09-26,CL 53-KR 72 02,DEI-007/CAM-01,A001055263,Solo Daños,NO,NO,,4.67200000000003,-74.107,2019
2019-09-26,CL 53-KR 72 02,DEI-007/CAM-02,A001055263,Solo Daños,NO,NO,,4.67200000000003,-74.107,2019
2019-10-01,AV AVENIDA DEL SUR-CL 57 S 02,DEI-021/CAM-01,A001055281,Con Heridos,NO,NO,,4.64400000000001,-74.066,2019
2019-10-08,AV AVENIDA DEL SUR-KR 72 2,DEI-002/CAM-01,A001055293,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-10-08,AV AVENIDA DEL SUR-KR 72 2,DEI-002/CAM-02,A001055293,Solo Daños,NO,NO,,4.63099999999997,-74.138,2019
2019-09-28,KR 45-CL 170 02,DEI-022/CAM-01,A001055306,Solo Daños,NO,NO,,4.75200000000001,-74.047,2019
2019-09-28,KR 45-CL 170 02,DEI-022/CAM-02,A001055306,Solo Daños,NO,NO,,4.75200000000001,-74.047,2019
2019-10-02,AV AVENIDA BOYACA-CL 1 02,DEI-002/CAM-01,A001055316,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-10-02,AV AVENIDA BOYACA-CL 1 02,DEI-002/CAM-02,A001055316,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-27,AV AVENIDA BOYACA-CL 131 2,DEI-009/CAM-01,A001055346,Solo Daños,NO,NO,,4.723313813,-74.073136076,2019
2019-09-27,AV AVENIDA BOYACA-CL 131 2,DEI-009/CAM-02,A001055346,Solo Daños,NO,NO,,4.723313813,-74.073136076,2019
2019-10-05,AK 45-CL 187 2,DEI-025/CAM-01,A001055359,Con Heridos,NO,NO,,4.76260129799999,-74.043966075,2019
2019-10-05,AK 45-CL 187 2,DEI-025/CAM-02,A001055359,Con Heridos,NO,NO,,4.76260129799999,-74.043966075,2019
2019-10-05,AK 45-CL 187 2,DEI-025/CAM-03,A001055359,Con Heridos,NO,NO,,4.76260129799999,-74.043966075,2019
2019-10-05,AK 45-CL 187 2,DEI-025/CAM-04,A001055359,Con Heridos,NO,NO,,4.76260129799999,-74.043966075,2019
2019-10-09,CL 19-KR 12 2,DEI-027/CAM-01,A001055373,Solo Daños,NO,SI,,4.60755340499998,-74.074379806,2019
2019-10-09,CL 19-KR 12 2,DEI-027/CAM-02,A001055373,Solo Daños,NO,SI,,4.60755340499998,-74.074379806,2019
2019-10-03,KR 68-CL 95 02,DEI-035/CAM-01,A001055378,Con Heridos,NO,NO,,4.68599999999998,-74.076,2019
2019-10-03,KR 68-CL 95 02,DEI-035/CAM-02,A001055378,Con Heridos,NO,NO,,4.68599999999998,-74.076,2019
2019-09-28,AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 78D 02,DEI-024/CAM-01,A001055483,Con Heridos,NO,NO,,4.63099999999997,-74.145,2019
2019-09-30,CL 116-KR 7 2,DEI-034/CAM-01,A001055519,Solo Daños,NO,NO,,4.694026608000005,-74.0339103445,2019
2019-09-30,CL 116-KR 7 2,DEI-034/CAM-02,A001055519,Solo Daños,NO,NO,,4.694026608000005,-74.0339103445,2019
2019-09-30,AK 45-CL 127 2,DEI-036/CAM-03,A001055557,Solo Daños,NO,NO,,4.70699999999999,-74.054,2019
2019-09-30,AK 45-CL 127 2,DEI-036/CAM-04,A001055557,Solo Daños,NO,NO,,4.70699999999999,-74.054,2019
2019-09-30,KR 114-CL 80 02,DEI-033/CAM-01,A001055570,Con Heridos,NO,NO,,4.72199999999998,-74.121,2019
2019-09-30,KR 114-CL 80 02,DEI-033/CAM-02,A001055570,Con Heridos,NO,NO,,4.72199999999998,-74.121,2019
2019-09-29,AV AVENIDA CIUDAD DE CALI-CL 6 02,DEI-002/CAM-01,A001055572,Solo Daños,NO,NO,,4.63,-74.137667694,2019
2019-09-29,AV AVENIDA CIUDAD DE CALI-CL 6 02,DEI-002/CAM-02,A001055572,Solo Daños,NO,NO,,4.63,-74.137667694,2019
